case_id,split,split_index,split_seed,family,n_earth_layers,polarizable_layer_index,rho_air,rho1,rho2,rho3,thickness1,thickness2,m,tau,c,src_x0,src_y0,src_z0,src_x1,src_y1,src_z1,src_azimuth_deg,src_length,src_current,n_receivers,rx1_x,rx1_y,rx1_z,rx2_x,rx2_y,rx2_z,sensor_frame,sensor_normal_x,sensor_normal_y,sensor_normal_z,waveform_set,disk_radii,t_min,t_max,n_times,case_hash
TR03,train,3,202609112,3L_cover,3,1,1.000000e+08,25.661253,130.67683,488.00946,41.322261,233.38937,0.34507266,3.633397227122e-03,0.88588708,-127.5237,-95.544743,0.05,206.08952,78.182481,0.05,27.507995,376.13685,1,2,-592.18591,57.07927,0,-439.61079,120.83613,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,eda51a88433df945d47dc48a48e39e8c86c3f9358a79717522815e74993e50a7
TR04,train,4,202609112,3L_middle,3,2,1.000000e+08,96.191366,45.885663,137.53303,69.114339,239.85903,0.3683409,2.374278068477e-04,0.72216562,-94.022982,-191.45349,0.05,156.6367,171.28293,0.05,55.354584,440.91721,1,2,723.21666,1.7751865,0,-62.180105,-1000.4228,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,df2b20f7e886fa6db6f725fec9d897e71b6619c9e1bae4fc9aea3d0393293a6e
TR05,train,5,202609112,3L_basement,3,3,1.000000e+08,418.47404,56.894126,400.16582,70.752508,97.503231,0.1486374,1.802816390030e-03,0.44885434,-159.60208,-152.85534,0.05,97.832368,196.00746,0.05,53.575471,433.56401,1,2,257.66822,-782.26462,0,475.52086,-716.77196,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,24c28e73f3d535ecd8712478034a05179e0f25c23a2e250c9438f430bce485a0
TR06,train,6,202609112,2L_cover,2,1,1.000000e+08,212.13639,46.632527,,98.794511,,0.11304023,2.468020093441e-03,0.42785332,-229.36698,-178.96155,0.05,67.186711,25.246273,0.05,34.551422,360.0624,1,2,-990.71187,160.63672,0,-298.49088,-599.13351,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,790c9f7ea15fff0757c48134d5cb1cff5f09dda32fbc930d0dbed4bc7eff178c
TR07,train,7,202609112,2L_basement,2,2,1.000000e+08,322.2288,100.65812,,78.37484,,0.23482629,5.997010451728e-02,0.49871096,-77.0539,-86.874022,0.05,316.50883,107.40074,0.05,26.272375,438.90124,1,2,629.65081,76.256911,0,216.04556,520.97201,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,fe10ae9faca8138c1d37fb4f04040c45dbf1b92101ae7027b9a944e082281dd7
TR08,train,8,202609112,3L_middle,3,2,1.000000e+08,48.91001,164.40979,24.741252,30.446863,240.21255,0.10126909,7.163557150805e-03,0.58961626,-303.64367,-164.22353,0.05,107.15683,89.488692,0.05,31.699662,482.83221,1,2,-172.52787,-567.78108,0,-45.1661,423.05523,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,747a96fd926dc98b04c72728764cabe6f94ff3b39f60e31327d24bca605c012c
TR09,train,9,202609112,3L_basement,3,3,1.000000e+08,163.9712,72.861709,264.50727,50.787608,95.773336,0.31512043,1.543855693519e-02,0.84537541,-85.14829,-107.476,0.05,84.962679,243.04431,0.05,64.112243,389.61806,1,2,447.98546,-18.746072,0,-224.56719,616.3622,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,65eed89a3ecb1f55b5c6c1864cc7e4bb559e1c6adf4101a6da37d1273c06affa
TR10,train,10,202609112,3L_cover,3,1,1.000000e+08,24.782012,245.12334,31.804715,78.832743,95.561792,0.36464157,4.646506014252e-04,0.54666377,-85.393085,-158.74267,0.05,87.545656,19.619275,0.05,45.884433,248.43669,1,2,114.01035,-871.86807,0,-519.99815,57.858026,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,0b8b7297178782fcf0d330805f5c83e98ab1949ad7d463bbee0d0e6e2247c9c5
TR11,train,11,202609112,2L_cover,2,1,1.000000e+08,352.11146,96.240838,,45.148835,,0.17512853,2.590175324674e-04,0.56114348,-232.20885,-139.97634,0.05,43.228232,-4.2312425,0.05,26.235702,307.07054,1,2,-486.69066,-452.27593,0,304.17296,4.5025669,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,632ec9011521d68b7bf59a013222a6de0eed647d18697474742a501ba431288e
TR12,train,12,202609112,3L_middle,3,2,1.000000e+08,138.7208,46.619589,101.63439,49.044724,205.51152,0.06051711,2.584692915093e-03,0.72909335,-153.10495,-80.710743,0.05,185.13427,118.60426,0.05,30.509667,392.5968,1,2,724.56509,121.5492,0,-89.938168,853.42784,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,5305daf1fbcc669cdeaeecf14e6a60d886ac01c556cfb7889740b0733ce56291
VA01,validation,1,202609113,2L_cover,2,1,1.000000e+08,435.0736,70.073644,,55.738447,,0.16846226,4.284125995361e-02,0.55055214,-51.088961,-55.847267,0.05,215.17781,23.703194,0.05,16.63416,277.89615,1,2,423.47625,702.99877,0,750.15685,-176.00333,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,6f5df8061607f0946b1d5f379e907ae34c032fcdd26ee1b4c9fb7b29096edce4
VA02,validation,2,202609113,2L_basement,2,2,1.000000e+08,39.751495,102.48078,,56.478205,,0.092696928,1.172492071502e-02,0.54714781,-39.583002,-122.60961,0.05,169.94537,263.73627,0.05,61.527534,439.50572,1,2,512.79765,89.695645,0,-570.38911,736.9519,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,95c409a1c97bac3acc7fb59bb454f3cd25354fc7d414d5af2195be1f6f9af1f8
VA03,validation,3,202609113,3L_middle,3,2,1.000000e+08,298.79195,31.261943,66.093587,98.523444,96.856289,0.26014565,1.511291049284e-02,0.64865475,-33.481006,-257.97382,0.05,35.735087,81.440579,0.05,78.473831,346.40006,1,2,-400.10652,512.79364,0,-708.22884,-453.28383,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,0ff19275bdff2aef411b4388899b42b01a6ece6046745d8d6fbfb71f91a737c1
VA04,validation,4,202609113,3L_basement,3,3,1.000000e+08,142.48594,442.29464,203.67956,22.408887,68.910244,0.35585564,2.451566137021e-04,0.89724149,-35.920668,-61.987851,0.05,124.25281,276.28637,0.05,64.662358,374.2793,1,2,771.17376,733.62722,0,585.99955,631.53915,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,d75f6247042560c9b2662081d7bf392cea5f819ca335e02dc6fe85068bd898f6
VA05,validation,5,202609113,3L_cover,3,1,1.000000e+08,25.095023,132.76961,38.293044,80.348064,104.68157,0.19469137,1.211544391358e-03,0.84310537,-200.67435,-215.92248,0.05,93.572264,103.44795,0.05,47.344598,434.25631,1,2,133.59109,309.87722,0,-168.65683,577.84589,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,385ed2829809814cd31682e5f74617e706637ed7cdc23a3831739844bb12b64c
VA06,validation,6,202609113,2L_cover,2,1,1.000000e+08,23.239246,141.38502,,132.79269,,0.38468593,4.846781534336e-04,0.6896218,-104.8834,-162.4799,0.05,108.14049,128.66159,0.05,53.807622,360.75275,1,2,504.7828,-762.10002,0,-763.13116,-142.03539,0,geographic,0,0,1,W0;W1;W2,1.0;4.0,1.000000e-05,1.000000e-02,31,14a43c7d12093aba3f0092d12761522aa321584e962893ced457762667ab38a8
TE01,independent_test,1,202609114,2L_cover,2,1,1.000000e+08,115.01976,79.219744,,93.071665,,0.16188297,3.064509107616e-03,0.77165212,120.90201,12.477394,0.05,-105.56745,58.279572,0.05,168.56647,231.05466,1,2,-1250.0091,813.05781,0,-922.86174,-808.1166,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,8b641e585f0d42ebdebd6b2663190cd6eb34e800edb7f1b2fa8b86d34aa59240
TE02,independent_test,2,202609114,2L_basement,2,2,1.000000e+08,34.458804,305.18198,,84.747956,,0.20497741,3.042781413443e-02,0.77165212,-30.508446,-80.850863,0.05,-79.5638,118.66234,0.05,103.8136,205.45546,1,2,-232.24297,-1082.732,0,-341.88523,-1277.6144,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,44d8c3bd641aac75044cb3c780738b86669b87eb25dbf1b5b117633cd01bf605
TE03,independent_test,3,202609114,3L_cover,3,1,1.000000e+08,186.75465,117.21803,235.2663,53.672646,214.76994,0.37277941,5.397115688832e-03,0.65589094,138.3709,-19.401061,0.05,-149.87826,129.92871,0.05,152.61323,324.63357,1,2,-1123.2526,307.81412,0,1240.9662,278.82785,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,68bad253aadbd075c84c8354ddfd465f40a48841084ac5e81ce9b22fcf9db6d6
TE04,independent_test,4,202609114,3L_middle,3,2,1.000000e+08,236.44646,305.18198,237.97275,81.859569,55.241782,0.20497741,2.479878316951e-04,0.65589094,62.947969,-127.31003,0.05,-18.19642,133.19329,0.05,107.30133,272.84866,1,2,-833.7745,-690.67321,0,-947.29764,922.07224,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,7442c24dcbe9181010240e2a7be700e49f6e5897c8717bca8a83d5d9936a24b6
TE05,independent_test,5,202609114,3L_basement,3,3,1.000000e+08,468.63074,84.758617,375.37045,97.459048,153.37351,0.20497741,1.051641502277e-02,0.86563124,169.43359,-74.335346,0.05,-182.20658,41.356361,0.05,161.78849,370.1829,1,2,1042.6441,1048.8311,0,-1203.941,-210.29748,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,aa922aeb8e47d57a5f5ed625ea2b57d23d122f52e716fa1253cbbe49ae2e1e96
TE06,independent_test,6,202609114,2L_cover,2,1,1.000000e+08,34.314481,472.38823,,72.857681,,0.24045999,3.064509107616e-03,0.46186261,172.93279,-172.99337,0.05,-118.97261,48.77444,0.05,142.77516,366.59204,1,2,360.78671,1174.5303,0,-1195.4587,-570.18407,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,ac98482e1c094a9a2a191f93ea792b00e76a7fe2ebf3ca018c7c8b7e8abe5503
TE07,independent_test,7,202609114,3L_middle,3,2,1.000000e+08,26.353614,375.37045,30.341687,37.38489,74.24338,0.35485712,5.397115688832e-03,0.86563124,287.78665,-138.65705,0.05,-108.94784,119.66853,0.05,146.93066,473.42408,1,2,-774.22187,-777.37728,0,142.50459,1173.7085,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,3b4dbe1dfaf5ba4bf4d79eb2d3d38bf1244b881a1ff3df41ee6c3f3b82131b56
TE08,independent_test,8,202609114,2L_basement,2,2,1.000000e+08,292.63726,186.75465,,134.71241,,0.37277941,2.208338939579e-03,0.52268737,251.77057,-106.88704,0.05,-81.921582,18.074346,0.05,159.47003,356.32261,1,2,-1329.4305,-452.27314,0,1106.0048,-899.91065,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,22c80a6e795595509fe6ab6e732d6a85dac5544f75d4851dc66e9496f0452c3b
TE09,independent_test,9,202609114,3L_basement,3,3,1.000000e+08,32.116384,189.72617,34.314481,22.212211,148.55173,0.35485712,9.152484470825e-04,0.77165212,57.270463,-44.94419,0.05,-121.17709,148.42764,0.05,132.70147,263.12771,1,2,-442.58864,1295.8471,0,485.53255,1301.9716,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,831a7b20ccb7557ed5fadfe48342f3ff663349d6a8b554667aff4adbfff22bd8
TE10,independent_test,10,202609114,3L_cover,3,1,1.000000e+08,146.99815,35.737993,107.91222,21.8569,179.02489,0.35485712,1.051641502277e-02,0.86563124,169.42162,-268.62313,0.05,-52.724491,131.97043,0.05,119.01023,458.0656,1,2,-693.85507,-1100.7306,0,-1354.5584,185.26805,0,tilted,0.35004813,-0.20002751,0.91512584,W0;W1;W2;W3,1.0;4.0,1.000000e-05,1.000000e-02,31,b7290fa44fb42cf6c82212617d5892158a091b490624193f1ad7d390f5d32129
LP01,layered_pressure,1,202609115,2L_cover,2,1,1.000000e+08,267.99119,38.352453,,136.74304,,0.47860969,2.534991738267e+00,0.27678936,-26.854208,-107.74153,0.05,15.710545,94.184674,0.05,78.096678,206.36364,1,2,501.46078,-577.33792,0,-623.78031,-248.759,0,geographic,0,0,1,W0;W4,1.0;4.0,1.000000e-05,1.000000e-02,31,82c846b1a9ecd28ae36c5db436374cc45e5a4395ea7d88fe07a02783685a371e
LP02,layered_pressure,2,202609115,2L_basement,2,2,1.000000e+08,421.98304,122.3645,,91.667665,,0.54603214,2.088191601216e+00,0.24831706,-141.40848,-33.279123,0.05,84.648428,73.99502,0.05,25.386437,250.21884,1,2,280.15424,396.53837,0,26.400276,701.85778,0,geographic,0,0,1,W0;W4,1.0;4.0,1.000000e-05,1.000000e-02,31,bb843261924a351efdbb84dc3b0fd3c8ca23767e7de8a8fbfd47ac5fdfa519ee
LP03,layered_pressure,3,202609115,3L_middle,3,2,1.000000e+08,151.00375,320.2617,43.590335,51.519514,119.42025,0.45107105,1.559523915621e+00,0.25502457,-46.215123,-193.22978,0.05,17.712494,138.87484,0.05,79.104268,338.20145,1,2,-641.52168,-296.65263,0,-144.97512,891.55298,0,geographic,0,0,1,W0;W4,1.0;4.0,1.000000e-05,1.000000e-02,31,209b11c4a62964be9c2ce5e57989ce3b0c848d800415d4b7cef57b740c94bd73
LP04,layered_pressure,4,202609115,3L_basement,3,3,1.000000e+08,30.426747,154.28272,23.994132,50.061618,172.73042,0.45238679,3.895474110488e-01,0.23890606,-161.3587,-68.491079,0.05,177.12731,35.541458,0.05,17.084635,354.11234,1,2,-153.12303,-500.13928,0,506.93764,-766.01284,0,geographic,0,0,1,W0;W4,1.0;4.0,1.000000e-05,1.000000e-02,31,91a7379f46bf7690e83a38693229ccdb1012d4aff324e38aa2fd39c1d462a987
